candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
countries_and_continents,official_name_fr,0.5773758292198181,58081,0.5773758292198181
countries_and_continents,official_name_en,0.5115050673484802,58081,0.5115050673484802
AdventureWorks2014_CountryRegion,Name,0.3994997441768646,57358,0.3994997441768646
countries_and_continents,name,0.3994290828704834,60009,0.3994290828704834
world_country,Name,0.39906957745552063,57599,0.39906957745552063
countries_metadatacountries,CountryName,0.3863617181777954,59527,0.3863617181777954
wikipedia-iso-country-codes,English_short_name_lower_case,0.37721559405326843,59286,0.37721559405326843
world_country,LocalName,0.37016406655311584,57599,0.37016406655311584
countries_and_continents,ISO4217-currency_country_name,0.3618330657482147,56635,0.3618330657482147
countries_of_the_world,Country,0.3579878509044647,54707,0.3579878509044647
World_countries_env_vars,Country,0.356916606426239,58563,0.356916606426239
gender_development,Country,0.355812132358551,46995,0.355812132358551
whr2015,Country,0.35353225469589233,38078,0.35353225469589233
countries_data,CountryName,0.3434835374355316,246784,0.3434835374355316
AdventureWorks2014_salesTerritory,Name,0.3411141335964203,2410,0.3411141335964203
Word_University_Rank_2020,Country,0.3402893841266632,246784,0.3402893841266632
fifa_ranking,country_full,0.3349611759185791,246784,0.3349611759185791
who_suicide_statistics,country,0.3304547369480133,246784,0.3304547369480133
edu,country,0.3291603624820709,246784,0.3291603624820709
UKDebate,country,0.32613447308540344,246784,0.32613447308540344
acquisitions,Country,0.326088547706604,209670,0.326088547706604
tmdb_5000_movies,originallanguage,0.3220332860946655,246784,0.3220332860946655
AdventureWorks2014_stateprovince,Name,0.32201918959617615,43621,0.32201918959617615
MoviesOnStreamingPlatforms_updated,Country,0.3212883472442627,246784,0.3212883472442627
netflix_titles,country,0.3212883472442627,246784,0.3212883472442627
world-cities,country,0.32128211855888367,246784,0.32128211855888367
cwurData,country,0.3207535147666931,246784,0.3207535147666931
us_companies,country,0.320598840713501,127489,0.320598840713501
us_companies_copy,country,0.3205988109111786,4579,0.3205988109111786
movies,country,0.3184220492839813,246784,0.3184220492839813
USA_cars_datasets,country,0.3184220492839813,246784,0.3184220492839813
movie_metadata,country,0.3184220492839813,246784,0.3184220492839813
countries_and_continents,ISO4217-currency_name,0.31714361906051636,56635,0.31714361906051636
hfi_cc_2018,countries,0.3078470528125763,246784,0.3078470528125763
AdventureWorks2014_stateprovince,CountryRegionCode,0.30377766489982605,43621,0.30377766489982605
world_city,CountryCode,0.3036126494407654,246784,0.3036126494407654
AdventureWorks2014_culture,Name,0.2998449206352234,1928,0.2998449206352234
directory,Country,0.298879474401474,246784,0.298879474401474
world_countryLanguage,CountryCode,0.29692450165748596,237144,0.29692450165748596
countries_metadatacountries,CountryCode,0.29589763283729553,59527,0.29589763283729553
countries_target,CountryCode,0.29589763283729553,59527,0.29589763283729553
countries_data,CountryCode,0.29540255665779114,246784,0.29540255665779114
Cars93,Origin,0.29468071460723877,22413,0.29468071460723877
google_books_dataset,language,0.2910987138748169,246784,0.2910987138748169
AdventureWorks2014_currency,Name,0.2897856831550598,25305,0.2897856831550598
countries_and_continents,Capital,0.2893691956996918,58563,0.2893691956996918
fifa_ranking,country_abrv,0.2885898947715759,246784,0.2885898947715759
booking,hotelNames,0.2853344678878784,220756,0.2853344678878784
affirmative_asylum,ContinentCountryofNationality,0.2814975380897522,26268,0.2814975380897522
language,countrycodes,0.2749582827091217,246784,0.2749582827091217
