candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
movies,country,0.8161066174507141,1024000,0.8161066174507141
USA_cars_datasets,country,0.8161066174507141,1024000,0.8161066174507141
movie_metadata,country,0.8161066174507141,1024000,0.8161066174507141
us_companies,country,0.8073301911354065,529000,0.8073301911354065
us_companies_copy,country,0.8073300719261169,19000,0.8073300719261169
MoviesOnStreamingPlatforms_updated,Country,0.7918794751167297,1024000,0.7918794751167297
netflix_titles,country,0.7918794751167297,1024000,0.7918794751167297
world-cities,country,0.7916005253791809,1024000,0.7916005253791809
cwurData,country,0.7797095775604248,1024000,0.7797095775604248
UKDebate,country,0.7699549198150635,1024000,0.7699549198150635
acquisitions,Country,0.763013482093811,870000,0.763013482093811
Word_University_Rank_2020,Country,0.7180542349815369,1024000,0.7180542349815369
who_suicide_statistics,country,0.6439237594604492,1024000,0.6439237594604492
whr2015,Country,0.6435213685035706,158000,0.6435213685035706
edu,country,0.6315351128578186,1024000,0.6315351128578186
gender_development,Country,0.6294766664505005,195000,0.6294766664505005
countries_of_the_world,Country,0.6226850748062134,227000,0.6226850748062134
World_countries_env_vars,Country,0.6158735156059265,243000,0.6158735156059265
countries_data,CountryName,0.5940266847610474,1024000,0.5940266847610474
directory,Country,0.5830872654914856,1024000,0.5830872654914856
countries_metadatacountries,CountryName,0.5714235901832581,247000,0.5714235901832581
Cars93,Origin,0.5327798128128052,93000,0.5327798128128052
hfi_cc_2018,countries,0.49727416038513184,1024000,0.49727416038513184
fifa_ranking,country_abrv,0.47240328788757324,1024000,0.47240328788757324
fifa_ranking,country_full,0.4706055819988251,1024000,0.4706055819988251
world_city,CountryCode,0.4623459279537201,1024000,0.4623459279537201
countries_data,CountryCode,0.458870530128479,1024000,0.458870530128479
world_countryLanguage,CountryCode,0.45850101113319397,984000,0.45850101113319397
countries_metadatacountries,CountryCode,0.4564923346042633,247000,0.4564923346042633
countries_target,CountryCode,0.4564923346042633,247000,0.4564923346042633
language,countrycodes,0.4532034993171692,1024000,0.4532034993171692
UKDebate,region,0.4525536894798279,1024000,0.4525536894798279
AdventureWorks2014_salesTerritory,CountryRegionCode,0.446445494890213,10000,0.446445494890213
USA_cars_datasets,state,0.44637253880500793,1024000,0.44637253880500793
SpellingStates,state,0.43858039379119873,51000,0.43858039379119873
AdventureWorks2014_stateprovince,CountryRegionCode,0.4381476640701294,181000,0.4381476640701294
us_companies,city,0.43244409561157227,496000,0.43244409561157227
google_books_dataset,language,0.4294421076774597,1024000,0.4294421076774597
Minimum_Wage_Data,State,0.426391065120697,1024000,0.426391065120697
Reveal_EEO1_for_2016,year,0.4259474277496338,1024000,0.4259474277496338
world_country,Name,0.42418861389160156,239000,0.42418861389160156
AdventureWorks2014_CountryRegion,Name,0.4240962266921997,238000,0.4240962266921997
countries_and_continents,name,0.4200339913368225,249000,0.4200339913368225
hfi_cc_2018,region,0.4173470139503479,1024000,0.4173470139503479
AdventureWorks2014_CountryRegionCurrency,CountryRegionCode,0.4172500967979431,108000,0.4172500967979431
movies,year,0.4168090522289276,1024000,0.4168090522289276
IMDB-Movie-Data,Year,0.415445476770401,1000000,0.415445476770401
MoviesOnStreamingPlatforms_updated,Year,0.4152125120162964,1024000,0.4152125120162964
USA_cars_datasets,year,0.41509920358657837,1024000,0.41509920358657837
AdventureWorks2014_CountryRegion,CountryRegionCode,0.4147143065929413,237000,0.4147143065929413
