candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
pte_alkyl_halide,Arg0,0.9246861338615417,29929,0.9246861338615417
pte_non_ar_5c_ring,Arg0,0.9243893623352051,5536,0.9243893623352051
pte_alcohol,Arg0,0.9158439636230469,1384,0.9158439636230469
pte_five_ring,Arg0,0.912496030330658,12975,0.912496030330658
pte_non_ar_hetero_6_ring,Arg0,0.9068931341171265,15051,0.9068931341171265
pte_non_ar_hetero_5_ring,Arg0,0.9067366123199463,13494,0.9067366123199463
pte_phenol,Arg0,0.9044087529182434,8477,0.9044087529182434
pte_mutagenic,Arg0,0.9043524265289307,23874,0.9043524265289307
pte_has_property,Arg0,0.9038385152816772,177152,0.9038385152816772
pte_ester,Arg0,0.9037383198738098,25431,0.9037383198738098
pte_methyl,Arg0,0.9031744599342346,65394,0.9031744599342346
pte_bound_cnt,Arg0,0.9026172757148743,58820,0.9026172757148743
pte_atm_min_charge,Arg0,0.9026172757148743,58820,0.9026172757148743
pte_atm_max_charge,Arg0,0.9026172757148743,58820,0.9026172757148743
pte_atm_count,Arg0,0.9026172757148743,58820,0.9026172757148743
pte_sulfide,Arg0,0.901678740978241,10726,0.901678740978241
pte_six_ring,Arg0,0.9013349413871765,77158,0.9013349413871765
pte_ketone,Arg0,0.9012758731842041,24739,0.9012758731842041
pte_ether,Arg0,0.9006855487823486,58128,0.9006855487823486
pte_active,Arg0,0.9002370238304138,28026,0.9002370238304138
pte_non_ar_6c_ring,Arg0,0.9000906348228455,63145,0.9000906348228455
pte_methoxy,Arg0,0.8997890949249268,10380,0.8997890949249268
pte_imine,Arg0,0.8995110392570496,2941,0.8995110392570496
pte_ind,Arg0,0.8977169990539551,68162,0.8977169990539551
pte_amine,Arg0,0.8970306515693665,31313,0.8970306515693665
pte_testactive_Neg,Arg0,0.8966225981712341,6747,0.8966225981712341
pte_testactive,Arg0,0.8966225981712341,6747,0.8966225981712341
pte_postestactive_neg,Arg0,0.8966225981712341,6747,0.8966225981712341
pte_postestactive,Arg0,0.8960750699043274,3460,0.8960750699043274
pte_ames,Arg0,0.893917441368103,24566,0.893917441368103
pte_nitro,Arg0,0.8932474851608276,8304,0.8932474851608276
pte_sulfo,Arg0,0.8927360773086548,4325,0.8927360773086548
pte_ind,Arg1,0.7087664604187012,68162,0.7087664604187012
pte_atm,Arg4,0.6998032927513123,177152,0.6998032927513123
pte_ind,Arg2,0.697702944278717,68162,0.697702944278717
pte_has_property,Arg2,0.6898338198661804,177152,0.6898338198661804
pte_bound,Arg3,0.6864964962005615,177152,0.6864964962005615
pte_atm,Arg3,0.623153567314148,177152,0.623153567314148
pte_has_property,Arg1,0.5514398217201233,177152,0.5514398217201233
mutagenesis_bond,atom2id,0.44480767846107483,177152,0.44480767846107483
pte_bound,atomid2,0.4434845745563507,177152,0.4434845745563507
pte_bound,atomid1,0.43380147218704224,177152,0.43380147218704224
mutagenesis_atom,atomid,0.4239761233329773,177152,0.4239761233329773
pte_atm_bound_count,atomid,0.4211047887802124,177152,0.4211047887802124
pte_atm,atomid,0.4175289273262024,177152,0.4175289273262024
AdventureWorks2014_shift,ShiftID,0.41543298959732056,519,0.41543298959732056
AdventureWorks2014_vendor,ActiveFlag,0.4135901629924774,17992,0.4135901629924774
student-mat,G2,0.4120766222476959,68335,0.4120766222476959
top10s,nrgy,0.4079415798187256,104319,0.4079415798187256
ipums_la_98-small,sprule,0.40058401226997375,177152,0.40058401226997375
