candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
pte_alkyl_halide,Arg0,0.9029896855354309,173000,0.9029896855354309
pte_non_ar_5c_ring,Arg0,0.9019713997840881,32000,0.9019713997840881
pte_non_ar_hetero_6_ring,Arg0,0.8984084129333496,87000,0.8984084129333496
pte_five_ring,Arg0,0.8982998132705688,75000,0.8982998132705688
pte_non_ar_hetero_5_ring,Arg0,0.8981981873512268,78000,0.8981981873512268
pte_alcohol,Arg0,0.8972758650779724,8000,0.8972758650779724
pte_ester,Arg0,0.8970060348510742,147000,0.8970060348510742
pte_phenol,Arg0,0.8966511487960815,49000,0.8966511487960815
pte_imine,Arg0,0.8960537910461426,17000,0.8960537910461426
pte_mutagenic,Arg0,0.895571231842041,138000,0.895571231842041
pte_methyl,Arg0,0.8952837586402893,378000,0.8952837586402893
pte_sulfide,Arg0,0.8946276903152466,62000,0.8946276903152466
pte_ether,Arg0,0.8942744731903076,336000,0.8942744731903076
pte_has_property,Arg0,0.8938673734664917,1024000,0.8938673734664917
pte_ketone,Arg0,0.8936818242073059,143000,0.8936818242073059
pte_methoxy,Arg0,0.893359363079071,60000,0.893359363079071
pte_bound_cnt,Arg0,0.8932948708534241,340000,0.8932948708534241
pte_atm_min_charge,Arg0,0.8932948708534241,340000,0.8932948708534241
pte_atm_max_charge,Arg0,0.8932948708534241,340000,0.8932948708534241
pte_atm_count,Arg0,0.8932948708534241,340000,0.8932948708534241
pte_testactive_Neg,Arg0,0.8929867744445801,39000,0.8929867744445801
pte_postestactive_neg,Arg0,0.8929867744445801,39000,0.8929867744445801
pte_testactive,Arg0,0.8929866552352905,39000,0.8929866552352905
pte_postestactive,Arg0,0.8928214907646179,20000,0.8928214907646179
pte_six_ring,Arg0,0.8917503952980042,446000,0.8917503952980042
pte_non_ar_6c_ring,Arg0,0.890332818031311,365000,0.890332818031311
pte_active,Arg0,0.8894357681274414,162000,0.8894357681274414
pte_ind,Arg0,0.8891894221305847,394000,0.8891894221305847
pte_sulfo,Arg0,0.8882628679275513,25000,0.8882628679275513
pte_nitro,Arg0,0.8878351449966431,48000,0.8878351449966431
pte_amine,Arg0,0.8873378038406372,181000,0.8873378038406372
pte_ames,Arg0,0.8873334527015686,142000,0.8873334527015686
pte_ind,Arg1,0.6929647326469421,394000,0.6929647326469421
pte_atm,Arg4,0.6881223320960999,1024000,0.6881223320960999
pte_ind,Arg2,0.6822730302810669,394000,0.6822730302810669
pte_bound,Arg3,0.6756821274757385,1024000,0.6756821274757385
pte_has_property,Arg2,0.6752116680145264,1024000,0.6752116680145264
pte_atm,Arg3,0.6144155263900757,1024000,0.6144155263900757
pte_has_property,Arg1,0.5457788705825806,1024000,0.5457788705825806
mutagenesis_bond,atom2id,0.44926226139068604,1024000,0.44926226139068604
pte_bound,atomid2,0.44872239232063293,1024000,0.44872239232063293
pte_bound,atomid1,0.4415571987628937,1024000,0.4415571987628937
mutagenesis_atom,atomid,0.4300425350666046,1024000,0.4300425350666046
pte_atm_bound_count,atomid,0.4291708171367645,1024000,0.4291708171367645
pte_atm,atomid,0.42550620436668396,1024000,0.42550620436668396
top10s,nrgy,0.41492602229118347,603000,0.41492602229118347
AdventureWorks2014_shift,ShiftID,0.41470441222190857,3000,0.41470441222190857
AdventureWorks2014_vendor,ActiveFlag,0.40884459018707275,104000,0.40884459018707275
student-mat,G2,0.4031679332256317,395000,0.4031679332256317
genes_genes,Motif,0.39812105894088745,1024000,0.39812105894088745
