candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
pte_alkyl_halide,Arg0,0.8997891545295715,10380,0.8997891545295715
pte_non_ar_hetero_5_ring,Arg0,0.8997693061828613,4680,0.8997693061828613
pte_non_ar_hetero_6_ring,Arg0,0.8991638422012329,5220,0.8991638422012329
pte_ester,Arg0,0.8977200984954834,8820,0.8977200984954834
pte_non_ar_5c_ring,Arg0,0.8976671099662781,1920,0.8976671099662781
pte_methoxy,Arg0,0.8963779211044312,3600,0.8963779211044312
pte_five_ring,Arg0,0.8962397575378418,4500,0.8962397575378418
pte_phenol,Arg0,0.8961758613586426,2940,0.8961758613586426
pte_methyl,Arg0,0.8958238363265991,22680,0.8958238363265991
pte_ether,Arg0,0.8956029415130615,20160,0.8956029415130615
pte_imine,Arg0,0.8955308794975281,1020,0.8955308794975281
pte_mutagenic,Arg0,0.8948946595191956,8280,0.8948946595191956
pte_sulfide,Arg0,0.8946138620376587,3720,0.8946138620376587
pte_ketone,Arg0,0.8937302231788635,8580,0.8937302231788635
pte_testactive_Neg,Arg0,0.8932675719261169,2340,0.8932675719261169
pte_testactive,Arg0,0.8932675719261169,2340,0.8932675719261169
pte_postestactive_neg,Arg0,0.8932675719261169,2340,0.8932675719261169
pte_has_property,Arg0,0.893200695514679,61440,0.893200695514679
pte_postestactive,Arg0,0.8931481838226318,1200,0.8931481838226318
pte_atm_min_charge,Arg0,0.8927916288375854,20400,0.8927916288375854
pte_atm_max_charge,Arg0,0.8927916288375854,20400,0.8927916288375854
pte_bound_cnt,Arg0,0.8927915096282959,20400,0.8927915096282959
pte_atm_count,Arg0,0.8927915096282959,20400,0.8927915096282959
pte_alcohol,Arg0,0.8919666409492493,480,0.8919666409492493
pte_six_ring,Arg0,0.890640914440155,26760,0.890640914440155
pte_ind,Arg0,0.8888431191444397,23640,0.8888431191444397
pte_non_ar_6c_ring,Arg0,0.8888213634490967,21900,0.8888213634490967
pte_active,Arg0,0.8883949518203735,9720,0.8883949518203735
pte_ames,Arg0,0.8879966735839844,8520,0.8879966735839844
pte_sulfo,Arg0,0.887901782989502,1500,0.887901782989502
pte_nitro,Arg0,0.8877724409103394,2880,0.8877724409103394
pte_amine,Arg0,0.885461151599884,10860,0.885461151599884
pte_ind,Arg1,0.6902537941932678,23640,0.6902537941932678
pte_atm,Arg4,0.6866540312767029,61440,0.6866540312767029
pte_ind,Arg2,0.6757029294967651,23640,0.6757029294967651
pte_bound,Arg3,0.6726801991462708,61440,0.6726801991462708
pte_has_property,Arg2,0.6680952310562134,61440,0.6680952310562134
pte_atm,Arg3,0.6097134947776794,61440,0.6097134947776794
pte_has_property,Arg1,0.5448893308639526,61440,0.5448893308639526
pte_bound,atomid2,0.4486449658870697,61440,0.4486449658870697
mutagenesis_bond,atom2id,0.4465334713459015,61440,0.4465334713459015
pte_bound,atomid1,0.44322529435157776,61440,0.44322529435157776
pte_atm_bound_count,atomid,0.42986831068992615,61440,0.42986831068992615
mutagenesis_atom,atomid,0.4292498230934143,61440,0.4292498230934143
pte_atm,atomid,0.426226407289505,61440,0.426226407289505
top10s,nrgy,0.4129665493965149,36180,0.4129665493965149
AdventureWorks2014_shift,ShiftID,0.4125322699546814,180,0.4125322699546814
AdventureWorks2014_vendor,ActiveFlag,0.4048774838447571,6240,0.4048774838447571
genes_genes,Motif,0.39903685450553894,61440,0.39903685450553894
student-mat,G2,0.3976946473121643,23700,0.3976946473121643
