candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
pte_phenol,Arg0,0.9047818183898926,2401,0.9047818183898926
pte_alkyl_halide,Arg0,0.9044087529182434,8477,0.9044087529182434
pte_postestactive,Arg0,0.9036061763763428,980,0.9036061763763428
pte_non_ar_5c_ring,Arg0,0.9032647013664246,1568,0.9032647013664246
pte_testactive_Neg,Arg0,0.9032476544380188,1911,0.9032476544380188
pte_postestactive_neg,Arg0,0.9032476544380188,1911,0.9032476544380188
pte_testactive,Arg0,0.903247594833374,1911,0.903247594833374
pte_ester,Arg0,0.9012444615364075,7203,0.9012444615364075
pte_five_ring,Arg0,0.9004861116409302,3675,0.9004861116409302
pte_non_ar_hetero_6_ring,Arg0,0.9003348350524902,4263,0.9003348350524902
pte_alcohol,Arg0,0.9001134634017944,392,0.9001134634017944
pte_non_ar_hetero_5_ring,Arg0,0.8993756175041199,3822,0.8993756175041199
pte_mutagenic,Arg0,0.8985755443572998,6762,0.8985755443572998
pte_ether,Arg0,0.898567259311676,16464,0.898567259311676
pte_imine,Arg0,0.8983743190765381,833,0.8983743190765381
pte_sulfide,Arg0,0.8980972170829773,3038,0.8980972170829773
pte_methyl,Arg0,0.8978719711303711,18522,0.8978719711303711
pte_ketone,Arg0,0.8976556658744812,7007,0.8976556658744812
pte_bound_cnt,Arg0,0.8962534666061401,16660,0.8962534666061401
pte_atm_min_charge,Arg0,0.8962534666061401,16660,0.8962534666061401
pte_atm_max_charge,Arg0,0.8962534666061401,16660,0.8962534666061401
pte_atm_count,Arg0,0.8962534666061401,16660,0.8962534666061401
pte_methoxy,Arg0,0.8961758017539978,2940,0.8961758017539978
pte_has_property,Arg0,0.8960515856742859,50176,0.8960515856742859
pte_six_ring,Arg0,0.8952993154525757,21854,0.8952993154525757
pte_sulfo,Arg0,0.8952961564064026,1225,0.8952961564064026
pte_non_ar_6c_ring,Arg0,0.8942476511001587,17885,0.8942476511001587
pte_ind,Arg0,0.8919420838356018,19306,0.8919420838356018
pte_nitro,Arg0,0.8917905688285828,2352,0.8917905688285828
pte_active,Arg0,0.8908692598342896,7938,0.8908692598342896
pte_amine,Arg0,0.8905269503593445,8869,0.8905269503593445
pte_ames,Arg0,0.8896240592002869,6958,0.8896240592002869
pte_ind,Arg1,0.6926825046539307,19306,0.6926825046539307
pte_atm,Arg4,0.692629337310791,50176,0.692629337310791
pte_ind,Arg2,0.6771342754364014,19306,0.6771342754364014
pte_bound,Arg3,0.6749335527420044,50176,0.6749335527420044
pte_has_property,Arg2,0.670789897441864,50176,0.670789897441864
pte_atm,Arg3,0.6164010763168335,50176,0.6164010763168335
pte_has_property,Arg1,0.5483543872833252,50176,0.5483543872833252
mutagenesis_bond,atom2id,0.4411904513835907,50176,0.4411904513835907
pte_bound,atomid2,0.44011983275413513,50176,0.44011983275413513
pte_bound,atomid1,0.43728309869766235,50176,0.43728309869766235
mutagenesis_atom,atomid,0.4271396994590759,50176,0.4271396994590759
pte_atm_bound_count,atomid,0.4262669086456299,50176,0.4262669086456299
pte_atm,atomid,0.4219076633453369,50176,0.4219076633453369
AdventureWorks2014_shift,ShiftID,0.41818252205848694,147,0.41818252205848694
top10s,nrgy,0.41419079899787903,29547,0.41419079899787903
AdventureWorks2014_vendor,ActiveFlag,0.41162899136543274,5096,0.41162899136543274
Brainsize,FSIQ,0.39777764678001404,1960,0.39777764678001404
Brainsize,VIQ,0.39768919348716736,1960,0.39768919348716736
