candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
pte_testactive_Neg,Arg0,0.9052465558052063,2418,0.9052465558052063
pte_testactive,Arg0,0.9052465558052063,2418,0.9052465558052063
pte_postestactive_neg,Arg0,0.9052465558052063,2418,0.9052465558052063
pte_postestactive,Arg0,0.9046532511711121,1240,0.9046532511711121
pte_sulfide,Arg0,0.9020346999168396,3844,0.9020346999168396
pte_non_ar_hetero_6_ring,Arg0,0.9017210602760315,5394,0.9017210602760315
pte_alkyl_halide,Arg0,0.901678740978241,10726,0.901678740978241
pte_non_ar_hetero_5_ring,Arg0,0.9012486338615417,4836,0.9012486338615417
pte_non_ar_5c_ring,Arg0,0.8997306823730469,1984,0.8997306823730469
pte_sulfo,Arg0,0.8986911773681641,1550,0.8986911773681641
pte_five_ring,Arg0,0.8983764052391052,4650,0.8983764052391052
pte_phenol,Arg0,0.8980973362922668,3038,0.8980973362922668
pte_ester,Arg0,0.8980223536491394,9114,0.8980223536491394
pte_methyl,Arg0,0.8973987698554993,23436,0.8973987698554993
pte_ether,Arg0,0.8970129489898682,20832,0.8970129489898682
pte_imine,Arg0,0.8968442678451538,1054,0.8968442678451538
pte_mutagenic,Arg0,0.8961769342422485,8556,0.8961769342422485
pte_methoxy,Arg0,0.8946138620376587,3720,0.8946138620376587
pte_bound_cnt,Arg0,0.8942642211914062,21080,0.8942642211914062
pte_atm_min_charge,Arg0,0.8942642211914062,21080,0.8942642211914062
pte_atm_max_charge,Arg0,0.8942642211914062,21080,0.8942642211914062
pte_atm_count,Arg0,0.8942642211914062,21080,0.8942642211914062
pte_ketone,Arg0,0.8941817283630371,8866,0.8941817283630371
pte_has_property,Arg0,0.8935903310775757,63488,0.8935903310775757
pte_six_ring,Arg0,0.8924198150634766,27652,0.8924198150634766
pte_alcohol,Arg0,0.8904344439506531,496,0.8904344439506531
pte_non_ar_6c_ring,Arg0,0.8903942108154297,22630,0.8903942108154297
pte_ind,Arg0,0.8895132541656494,24428,0.8895132541656494
pte_nitro,Arg0,0.8892072439193726,2976,0.8892072439193726
pte_ames,Arg0,0.8888171911239624,8804,0.8888171911239624
pte_active,Arg0,0.8881666660308838,10044,0.8881666660308838
pte_amine,Arg0,0.8860827088356018,11222,0.8860827088356018
pte_ind,Arg1,0.6913629174232483,24428,0.6913629174232483
pte_atm,Arg4,0.6759239435195923,63488,0.6759239435195923
pte_ind,Arg2,0.6652483940124512,24428,0.6652483940124512
pte_has_property,Arg2,0.6598300337791443,63488,0.6598300337791443
pte_bound,Arg3,0.6522088050842285,63488,0.6522088050842285
pte_atm,Arg3,0.589484453201294,63488,0.589484453201294
pte_has_property,Arg1,0.5476064085960388,63488,0.5476064085960388
pte_bound,atomid2,0.45979341864585876,63488,0.45979341864585876
mutagenesis_bond,atom2id,0.45910176634788513,63488,0.45910176634788513
pte_bound,atomid1,0.455691397190094,63488,0.455691397190094
pte_atm_bound_count,atomid,0.44412481784820557,63488,0.44412481784820557
mutagenesis_atom,atomid,0.4418015778064728,63488,0.4418015778064728
pte_atm,atomid,0.4401457607746124,63488,0.4401457607746124
AdventureWorks2014_shift,ShiftID,0.42030251026153564,186,0.42030251026153564
genes_genes,Motif,0.40319836139678955,63488,0.40319836139678955
mutagenesis_bond,atom1id,0.39987286925315857,63488,0.39987286925315857
top10s,nrgy,0.3990347683429718,37386,0.3990347683429718
AdventureWorks2014_vendor,ActiveFlag,0.3989937901496887,6448,0.3989937901496887
