candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
world_country,LocalName,0.5705997943878174,57121,0.5705997943878174
world-cities,geonameid,0.4606160819530487,244736,0.4606160819530487
countries_and_continents,Geoname_ID,0.45286279916763306,59511,0.45286279916763306
countries_and_continents,name,0.43585264682769775,59511,0.43585264682769775
world_country,Name,0.4348248541355133,57121,0.4348248541355133
AdventureWorks2014_CountryRegion,Name,0.4334917366504669,56882,0.4334917366504669
language,Name,0.4131024479866028,244736,0.4131024479866028
world_city,Name,0.4123322665691376,244736,0.4123322665691376
AdventureWorks2014_salesTerritory,Name,0.40826907753944397,2390,0.40826907753944397
world-cities,name,0.40298226475715637,244736,0.40298226475715637
countries_metadatacountries,CountryName,0.4018746614456177,59033,0.4018746614456177
world_city,CountryCode,0.39580392837524414,244736,0.39580392837524414
imdb_ijs_directors,firstname,0.39557769894599915,244736,0.39557769894599915
imdb_ijs_directors,lastname,0.39300233125686646,244736,0.39300233125686646
imdb_ijs_actors,firstname,0.3923349678516388,244736,0.3923349678516388
imdb_ijs_actors,lastname,0.39224183559417725,244736,0.39224183559417725
world_countryLanguage,CountryCode,0.3921148180961609,235176,0.3921148180961609
AdventureWorks2014_salesTerritory,TerritoryID,0.38918784260749817,2390,0.38918784260749817
countries_metadatacountries,CountryCode,0.38815224170684814,59033,0.38815224170684814
countries_target,CountryCode,0.38815224170684814,59033,0.38815224170684814
AdventureWorks2014_stateprovince,Name,0.3843437135219574,43259,0.3843437135219574
countries_data,CountryCode,0.38288411498069763,244736,0.38288411498069763
AdventureWorks2014_culture,Name,0.3820565938949585,1912,0.3820565938949585
most_frequent_names,Name,0.3789615035057068,244736,0.3789615035057068
directory,Country,0.37227535247802734,244736,0.37227535247802734
AdventureWorks2014_currency,Name,0.3719245493412018,25095,0.3719245493412018
countries_and_continents,official_name_fr,0.37016403675079346,57599,0.37016403675079346
countries_data,CountryName,0.3695013225078583,244736,0.3695013225078583
AdventureWorks2014_employee,NationalIDNumber,0.3692193031311035,69310,0.3692193031311035
directory,StoreName,0.36413151025772095,244736,0.36413151025772095
google_books_dataset,language,0.3622939884662628,244736,0.3622939884662628
financial_district,districtid,0.3613440990447998,18403,0.3613440990447998
countries_and_continents,official_name_en,0.3609387278556824,57599,0.3609387278556824
language,countrycodes,0.3603799641132355,244736,0.3603799641132355
wikipedia-iso-country-codes,English_short_name_lower_case,0.35946565866470337,58794,0.35946565866470337
financial_account,districtid,0.358735054731369,244736,0.358735054731369
financial_client,districtid,0.35846248269081116,244736,0.35846248269081116
UKDebate,region,0.35028964281082153,244736,0.35028964281082153
us_companies_copy,country,0.3459550142288208,4541,0.3459550142288208
us_companies,country,0.34595489501953125,126431,0.34595489501953125
AdventureWorks2014_salesTerritory,CountryRegionCode,0.3445699214935303,2390,0.3445699214935303
who_suicide_statistics,country,0.34323152899742126,244736,0.34323152899742126
acquisitions,Country,0.3415946066379547,207930,0.3415946066379547
AdventureWorks2014_CountryRegionCurrency,CountryRegionCode,0.339957594871521,25812,0.339957594871521
AdventureWorks2014_stateprovince,CountryRegionCode,0.338725209236145,43259,0.338725209236145
UKDebate,city,0.3378528952598572,244736,0.3378528952598572
AdventureWorks2014_CountryRegion,CountryRegionCode,0.33763357996940613,56643,0.33763357996940613
directory,City,0.3376099765300751,244736,0.3376099765300751
movies,country,0.33592137694358826,244736,0.33592137694358826
USA_cars_datasets,country,0.33592137694358826,244736,0.33592137694358826
