candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
fifa_ranking,country_full,167.709,167709,167.709
hfi_cc_2018,countries,7.061,7061,7.061
whr2015,Country,6.791139240506329,1073,6.791139240506329
gender_development,Country,6.641025641025641,1295,6.641025641025641
countries_of_the_world,Country,6.176211453744493,1402,6.176211453744493
World_countries_env_vars,Country,5.802469135802469,1410,5.802469135802469
who_suicide_statistics,country,5.304,5304,5.304
Word_University_Rank_2020,Country,5.004,5004,5.004
countries_metadatacountries,CountryName,4.5910931174089065,1134,4.5910931174089065
affirmative_asylum,ContinentCountryofNationality,3.7155963302752295,405,3.7155963302752295
AdventureWorks2014_CountryRegion,Name,3.546218487394958,844,3.546218487394958
world_country,Name,3.4644351464435146,828,3.4644351464435146
countries_and_continents,name,3.461847389558233,862,3.461847389558233
edu,country,3.128,3128,3.128
cwurData,country,2.96,2960,2.96
countries_data,CountryName,2.952,2952,2.952
population_by_country_2020,CountryDependency,2.9106382978723406,684,2.9106382978723406
AdventureWorks2014_salesTerritory,Name,1.3,13,1.3
