candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
pte_has_property,Arg0,1023.612676056338,145353,1023.612676056338
pte_six_ring,Arg0,445.8169014084507,63306,445.8169014084507
pte_ind,Arg0,393.9225352112676,55937,393.9225352112676
pte_methyl,Arg0,377.7676056338028,53643,377.7676056338028
pte_non_ar_6c_ring,Arg0,364.8943661971831,51815,364.8943661971831
pte_atm,Arg4,345.2464788732394,49025,345.2464788732394
pte_bound_cnt,Arg0,339.9154929577465,48268,339.9154929577465
pte_atm_min_charge,Arg0,339.9154929577465,48268,339.9154929577465
pte_atm_max_charge,Arg0,339.9154929577465,48268,339.9154929577465
pte_atm_count,Arg0,339.9154929577465,48268,339.9154929577465
pte_ether,Arg0,335.6901408450704,47668,335.6901408450704
pte_bound,Arg3,308.16901408450707,43760,308.16901408450707
pte_amine,Arg0,181.0,25702,181.0
pte_alkyl_halide,Arg0,172.92253521126761,24555,172.92253521126761
pte_active,Arg0,161.99295774647888,23003,161.99295774647888
pte_ester,Arg0,146.92253521126761,20863,146.92253521126761
pte_ketone,Arg0,142.92253521126761,20295,142.92253521126761
pte_sulfo,Arg0,142.0,3550,142.0
pte_phenol,Arg0,142.0,6958,142.0
pte_sulfide,Arg0,142.0,8804,142.0
pte_imine,Arg0,142.0,2414,142.0
pte_nitro,Arg0,142.0,6816,142.0
pte_non_ar_hetero_5_ring,Arg0,142.0,11076,142.0
pte_methoxy,Arg0,142.0,8520,142.0
pte_alcohol,Arg0,142.0,1136,142.0
pte_postestactive,Arg0,142.0,2840,142.0
pte_testactive_Neg,Arg0,142.0,5538,142.0
pte_testactive,Arg0,142.0,5538,142.0
pte_postestactive_neg,Arg0,142.0,5538,142.0
pte_ames,Arg0,142.0,20164,142.0
pte_five_ring,Arg0,142.0,10650,142.0
pte_non_ar_5c_ring,Arg0,142.0,4544,142.0
pte_mutagenic,Arg0,141.91304347826087,19584,141.91304347826087
pte_non_ar_hetero_6_ring,Arg0,141.8735632183908,12343,141.8735632183908
