candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
pte_has_property,Arg0,1023.4829931972789,150452,1023.4829931972789
pte_six_ring,Arg0,445.7891156462585,65531,445.7891156462585
pte_ind,Arg0,393.78231292517006,57886,393.78231292517006
pte_atm,Arg4,387.74149659863946,56998,387.74149659863946
pte_methyl,Arg0,377.8707482993197,55547,377.8707482993197
pte_non_ar_6c_ring,Arg0,364.8095238095238,53627,364.8095238095238
pte_bound_cnt,Arg0,339.8707482993197,49961,339.8707482993197
pte_atm_min_charge,Arg0,339.8707482993197,49961,339.8707482993197
pte_atm_max_charge,Arg0,339.8707482993197,49961,339.8707482993197
pte_atm_count,Arg0,339.8707482993197,49961,339.8707482993197
pte_ether,Arg0,335.8843537414966,49375,335.8843537414966
pte_has_property,Arg2,244.9795918367347,36012,244.9795918367347
pte_bound,Arg3,242.94557823129253,35713,242.94557823129253
pte_ind,Arg1,235.2925170068027,34588,235.2925170068027
pte_amine,Arg0,180.87074829931973,26588,180.87074829931973
pte_alkyl_halide,Arg0,172.9795918367347,25428,172.9795918367347
pte_active,Arg0,161.89115646258503,23798,161.89115646258503
pte_sulfo,Arg0,147.0,3675,147.0
pte_sulfide,Arg0,147.0,9114,147.0
pte_alcohol,Arg0,147.0,1176,147.0
pte_postestactive,Arg0,147.0,2940,147.0
pte_testactive_Neg,Arg0,147.0,5733,147.0
pte_testactive,Arg0,147.0,5733,147.0
pte_postestactive_neg,Arg0,147.0,5733,147.0
pte_methoxy,Arg0,146.98333333333332,8819,146.98333333333332
pte_phenol,Arg0,146.9795918367347,7202,146.9795918367347
pte_non_ar_hetero_5_ring,Arg0,146.97435897435898,11464,146.97435897435898
pte_non_ar_5c_ring,Arg0,146.96875,4703,146.96875
pte_non_ar_hetero_6_ring,Arg0,146.9655172413793,12786,146.9655172413793
pte_five_ring,Arg0,146.96,11022,146.96
pte_ester,Arg0,146.9591836734694,21603,146.9591836734694
pte_imine,Arg0,146.94117647058823,2498,146.94117647058823
pte_nitro,Arg0,146.9375,7053,146.9375
pte_mutagenic,Arg0,146.93478260869566,20277,146.93478260869566
pte_ketone,Arg0,146.93006993006992,21011,146.93006993006992
pte_ames,Arg0,146.92253521126761,20863,146.92253521126761
pte_ind,Arg2,110.85714285714286,16296,110.85714285714286
