candidate_table,candidate_column,similarity_score,semantic_matches,semantic_density
pte_has_property,Arg0,1024.0,63488,1024.0
pte_six_ring,Arg0,446.0,27652,446.0
pte_ind,Arg0,394.0,24428,394.0
pte_methyl,Arg0,378.0,23436,378.0
pte_non_ar_6c_ring,Arg0,365.0,22630,365.0
pte_bound_cnt,Arg0,340.0,21080,340.0
pte_atm_min_charge,Arg0,340.0,21080,340.0
pte_atm_max_charge,Arg0,340.0,21080,340.0
pte_atm_count,Arg0,340.0,21080,340.0
pte_ether,Arg0,336.0,20832,336.0
pte_atm,Arg4,294.0806451612903,18233,294.0806451612903
pte_amine,Arg0,181.0,11222,181.0
pte_alkyl_halide,Arg0,173.0,10726,173.0
pte_active,Arg0,162.0,10044,162.0
pte_ester,Arg0,147.0,9114,147.0
pte_ketone,Arg0,143.0,8866,143.0
pte_ames,Arg0,142.0,8804,142.0
pte_mutagenic,Arg0,138.0,8556,138.0
pte_bound,Arg3,122.35483870967742,7586,122.35483870967742
pte_non_ar_hetero_6_ring,Arg0,87.0,5394,87.0
pte_non_ar_hetero_5_ring,Arg0,78.0,4836,78.0
pte_five_ring,Arg0,75.0,4650,75.0
pte_sulfo,Arg0,62.0,1550,62.0
pte_phenol,Arg0,62.0,3038,62.0
pte_sulfide,Arg0,62.0,3844,62.0
pte_imine,Arg0,62.0,1054,62.0
pte_nitro,Arg0,62.0,2976,62.0
pte_methoxy,Arg0,62.0,3720,62.0
pte_alcohol,Arg0,62.0,496,62.0
pte_postestactive,Arg0,62.0,1240,62.0
pte_testactive_Neg,Arg0,62.0,2418,62.0
pte_testactive,Arg0,62.0,2418,62.0
pte_postestactive_neg,Arg0,62.0,2418,62.0
pte_non_ar_5c_ring,Arg0,62.0,1984,62.0
