query_table,query_column,query_index,candidate_table,candidate_column,similarity_score,query_sample_values,candidate_sample_values
AJ-beatles-songs_source_Title,title,1,AJ-beatles-songs_target_Title,title,0.710876912261291,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","""12-Bar Original"", ""Across the Universe"", ""Act Naturally"", ""Ain't She Sweet"", ""All I've Got to Do"""
AJ-beatles-songs_source_Title,title,1,target_058318,title,0.604103269128021,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Honey Don't, Put Your Cat Clothes On, Blue Suede Shoes, That's All Right, Boppin' the Blues"
AJ-beatles-songs_source_Title,title,1,target_063831,title,0.6029535227485316,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","I Walked Away, The Sun Went Down, Look Me in the Eye, Glamour Girl, Evil Hearted Woman"
AJ-beatles-songs_source_Title,title,1,target_011973,title,0.5990735499591756,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Every Beat Of My Heart, All Night Long, Starting From Tonight, I Know I Love You So, Moonrise"
AJ-beatles-songs_source_Title,title,1,target_043308,title,0.595374571386997,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Hey Miss Tina, Sonnyland, I Won't Go On, Do You Love Me, Just A Feeling"
AJ-beatles-songs_source_Title,title,1,target_080704,title,0.5939552005749028,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","P L Blues, No Haps, I Want To Ramble, Southern Woman, Gambling Woman"
AJ-beatles-songs_source_Title,title,1,target_024269,title,0.593582817948655,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Night Time Is The Right Time, A Fool For You, Ain't That Love, Come Back Baby, Blackjack"
AJ-beatles-songs_source_Title,title,1,target_072738,title,0.592314922880313,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","YELLOW SUBMARINE/ELEANOR RIGBY, NEEDLE IN A HAYSTACK, STEP BACK/CARA-LYN, LADY GODIVA, SORRY"
AJ-beatles-songs_source_Title,title,1,target_022664,title,0.5916055877893701,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Strange Fruit, God Bless the Child, Summertime, Lover Man (Oh, Where Can You Be?), I've Got My Love to Keep Me Warm"
AJ-beatles-songs_source_Title,title,1,target_060151,title,0.5903879195566741,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Stormy Night Blues, Oh Babe, That's the Stuff You Gotta Watch, I Feel That Old Age Coming On, Drinkin' By Myself"
