query_table,query_column,query_index,candidate_table,candidate_column,similarity_score,query_sample_values,candidate_sample_values
AJ-beatles-songs_source_Title,title,1,AJ-beatles-songs_target_Title,title,0.6602499485015869,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","""12-Bar Original"", ""Across the Universe"", ""Act Naturally"", ""Ain't She Sweet"", ""All I've Got to Do"""
AJ-beatles-songs_source_Title,title,1,target_011973,title,0.5935852229595184,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Every Beat Of My Heart, All Night Long, Starting From Tonight, I Know I Love You So, Moonrise"
AJ-beatles-songs_source_Title,title,1,target_063831,title,0.5896914005279541,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","I Walked Away, The Sun Went Down, Look Me in the Eye, Glamour Girl, Evil Hearted Woman"
AJ-beatles-songs_source_Title,title,1,target_058318,title,0.5864523351192474,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Honey Don't, Put Your Cat Clothes On, Blue Suede Shoes, That's All Right, Boppin' the Blues"
AJ-beatles-songs_source_Title,title,1,target_024269,title,0.5845664739608765,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Night Time Is The Right Time, A Fool For You, Ain't That Love, Come Back Baby, Blackjack"
AJ-beatles-songs_source_Title,title,1,target_059102,title,0.5795416235923767,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Ain't Misbehavin', The Joint Is Jumpin', Your Feets Too Big, I'm Gonna Sit Right Down and Write Myself a Letter, Honeysuckle Rose"
AJ-beatles-songs_source_Title,title,1,target_088910,title,0.5789756774902344,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Miss Brown to You, As Long As I Live, In the Wee Small Hours of the Morning, All of Me, The First Time Ever I Saw Your Face"
AJ-beatles-songs_source_Title,title,1,target_061793,title,0.5786778330802917,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Always, Always, A Kiss Like Yours, Boy Wanted, Love Every Moment You Live, Don't Tell Me Not to Love You"
AJ-beatles-songs_source_Title,title,1,target_067753,title,0.5773396193981171,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","don't bounce it, don't send me away, sakha animal imitations, i love all the love in you, scottish temple rite stomp(remix)"
AJ-beatles-songs_source_Title,title,1,target_082312,title,0.5769625604152679,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Lessons in Love, Take My Breath Away, Flashdance…what a Feeling, Foolish Beat, I Think We're Alone Now"
AJ-beatles-songs_source_Title,title,1,target_012734,title,0.5762899219989777,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","Ruby Baby, Forty Days, Horace, One of These Days, What 'Cha Gonna Do"
AJ-beatles-songs_source_Title,title,1,target_001115,title,0.576074093580246,"A Beginning, A Day In The Life, A Hard Day's Night, A Little Rhyme, A Shot Of Rhythm And Blues","I Can't Help Myself (Sugar Pie Honey Bunch), Papa Was a Rollin' Stone, Same Old Song, Oh, What a Night, Whatcha See Is Whatcha Get"
