id,title
0,Skype Translate Reportedly Has a Swearing Problem In Chinese
1,Skype For Web Beta Goes Worldwide
2,Microsoft's Skype Drops Modern App In Favour of Old-Fashioned Win32 App
3,How Machine Learning Ate Microsoft
4,Snowden Documents Show How Well NSA Codebreakers Can Pry
5,Ars Reviews Skype Translator
6,Skype Unveils Preview of Live English-To-Spanish Translator
7,New Trial Brings Skype to (Some) Browsers
8,"Microsoft Is Bringing WebRTC To Explorer, Eyes Plugin-Free Skype Calls"
9,Ask Slashdot: Stop PulseAudio From Changing Sound Settings?
10,"Tox, a Skype Replacement Built On 'Privacy First'"
11,"Skype Reverses Decision To Drop OS X 10.5 Support, Retires Windows Phone 7 App"
12,The Doctor Will Skype You Now
13,Skype Blocks Customers Using OS-X 10.5.x and Earlier
14,Leaked Docs Offer Win 8 Tip: FinFisher Spyware Can't Tap Skype's Metro App
15,Microsoft Is Paying Brazilian Users In Skype Credit To Switch to Bing
16,Microsoft Researchers Slash Skype Fraud By 68%
17,"Syrian Electronic Army Defaces Skype's Facebook Page, Twitter Account, and Blog"
18,Skype Is Evaluating Adding Typing Suppression Feature
19,Microsoft To Can Skype API; Third-Party Products Will Not Work
20,Skype Terminating Desktop API
21,Ask Slashdot: Suitable Phone For a 4-Year Old?
22,Skype Bypasses Windows 8.1 Lock Screen
23,"Down the Road, But In the Works: 3-D Video Calls From Skype"
24,Skype Overload Interrupts Zimmerman Trial
25,Microsoft Reads Your Skype Chat Messages
26,Ask Slashdot: How To Track a Skype Account Hijacker?
27,New Skype Malware Uses Victims' Machines To Mine Bitcoins
28,France pushes for controls on Skype calls
29,"Iran Blocks 'Illegal' VPNs, Google, and Yahoo"
30,Version 2.0 Released For Open Skype Alternative Jitsi
31,Privacy Advocates Demand Transparency From Skype
32,Privacy advocates demand some transparency from Skype already
33,Microsoft Axing Messenger On March 15th
34,Hiding Secret Messages In Skype Silences
35,Facebook job applicant shares frustrating experience
36,How Syria's Rebels Communicate In the Face of Internet Shutdown
37,The Internet has transformed modern divorce
38,Skype Disables Password Resets After Huge Security Hole Discovered
39,Skype vulnerability allowing hijacking of any account
40,Microsoft Shutting Down Messenger
41,Skype Hands Teenager's Information To Private Firm
42,Skype Hand's Teenager's Information To Private Firm
43,Microsoft Makes Skype Easier To Monitor
44,Microsoft Won't Say If Skype Is Secure Or Not. Time To Change?
45,Skype Bug Sends Messages To Random Contacts
46,Microsoft Pushes Skype with Windows Update
47,Ethiopian Government Denies Banning Skype
48,Skype 4.0 For Linux Now Available
49,Skype 4.0 for Linux now available
50,Last.fm spies on your Skype Activity
51,Ask Slashdot: Skype Setup For Toddler's Room?
52,Syrian Government Uses Skype To Push Malware To Activists
53,Hacked Skype IP Address Search Shows Who's Speaking From Where
54,Skype Finally Arrives On Microsoft Phones
55,Skype Finally Arives On Microsoft Phones
56,"Skype 1.0 for Windows Phone released, still no background multi-tasking (video)"
57,Swedish Teleco Firms Looking Into Block VoIP Claiming Losses In Earnings
58,New Version of Flashback Trojan Targets Mac Users
59,Microsoft finalizes Skype acquisition
60,"Russian Telco MTS Bans Skype, Other VoIP Services"
61,Microsoft-Skype Deal Poised To Win EU Approval
62,Microsoft-Skype Deal Poised to Win EU Approval
63,Italian Company Seeks To Stop Microsoft and Skype
64,Facebook Announces Video Calling With Skype
65,GoDaddy Sells To Investor Group
66,Microsoft Seeks Patent For VoIP Eavesdropping Technology
67,US Congress To Use Skype For Video Teleconference
68,Microsoft May Add Eavesdropping To Skype
69,"If You're Working For Stock, Read the Fine Print"
70,Skype & Silver Lake: Evil?
71,Skype Forcing Mac Users To Upgrade Client
72,FTC Approves Microsoft's Takeover of Skype
73,Skype Execs Purged On Eve of MS Takeover
74,Skype fires senior execs ahead of Microsoft buyout
75,Will Capped Data Plans Kill the Cloud?
76,Will Capped Data Plans Kill The Cloud?
77,Interview with programmer who hacked Skype
78,Skype is working to defeat the reverse engineering
79,Skype Protocol Has Been Reverse Engineered
80,Google WebRTC: Can It Replace Skype?
81,"Ask Slashdot: FOSS, Multiplatform Skype Replacement for PC-to-PC Video Chat?"
82,Skype Issues Software Fix For Windows and Mac Users
83,Chapel Hill Computational Linguists Crack Skype Calls
84,Linguistics cracks Skype calls
85,Skype Crashes and Burns In Worldwide Outage
86,Microsoft kills off skype4asterisk module
87,"FOSS, Multiplatform replacement for Skype ?"
88,Microsoft Kills Skype For Asterisk
89,Linux-Friendly Alternatives To Skype
90,"Clearly, Skype On Linux Has No Future"
91,Microsoft Buying Skype for $8.5B
92,Microsoft buys Skype
93,Microsoft wants to buy Skype for $8.5B
94,Microsoft Buying Skype? R.I.P Skype for Linux...
95,Facebook Wants To Buy Skype
96,Skype Plugs Android App Privacy Hole
97,What Is the Best Way To Build a Virtual Team?
98,"Russia Backs Down On Skype, Gmail Ban"
99,"GNU Free Call Announced, SIP-based VoIP"
100,Facebook Said To Resume Talks With Skype
101,Mozilla Flips Kill-Switch On Skype Toolbar
102,Google Apps Bug Lets Allows Free Voice Calls To US
103,VoIP Now Technically Illegal In China
104,Skype For iPhone Now Makes Video Calls
105,Skype for iPhone now makes video calls
106,Lessons Learned From Skype’s Outage
107,Lessons Learned from Skype’s Outage
108,"IBM Projects Holographic Phones, Air-Driven Batteries"
109,"IBM Brings Holographic Phones, Air-driven Battery"
110,Skype Outage Hits Users Worldwide
111,Skype Slowly Restores Service To Users
112,Skype Outages Continue Into Second Day
113,Skype outages continue into second day
114,Malicious Websites Can Initiate Skype Calls On iOS
115,Skype Officially Available For Android
116,Skype officially available for android
117,"Facebook, Skype Getting Really Friendly"
118,Lo-Fi Phones and the Future
119,The new dawn of phone calls
120,Cisco Planning To Acquire Skype
121,India Now Wants Access To Google and Skype
122,MagicJack Moving To Smartphones
123,Rupert Murdoch Claims To Own the 'Sky' In 'Skype'
124,"Rupert Murdoch claims to own the ""Sky"" in ""Skype"""
125,Tech Specs Leaked For French Spyware
126,Vonage Makes Free Facebook Phone Call App
127,Skype 2.0.1 iPhone Update for iOS 4: Multitasking.
128,Fring Calls Skype 'Cowards'; Skype Responds
129,Skype Encryption (Partly) Revealed
130,Best Phone For a Wi-Fi-Only Location?
131,Skype Releases Open SDK
132,"Skype App Updated, Allows 3G Calling On the iPhone"
133,Skype App Updated: 3G Calling on the iPhone Enable
134,Controlling a Robot With the Emotiv EEG Headset
135,Mind Controlled Robot with the Emotiv EEG headset
136,Skype on your mobilephone
137,Verizon To Allow Skype Calling On Its Network
138,"With New SDK, VoIP Over 3G Apps Now Working On iPhone"
139,VOIP Over 3G Apps Working on iPhone
140,UK Broadband Too Slow for Skype HD Video Calls
141,Skype's Legal Situation Clears
142,"Skype for Linux Open-sourced ""in nearest future""?"
143,Google Voice Now Works WIth Existing Mobile Numbers
144,AT&T to allow VoIP on iPhone
145,Skype Founders File Copyright Suit Against eBay
146,Skype Trojan Can Log VoIP Conversations
147,Collaborative Software For Pair Programming?
148,Eavesdropping On Google Voice and Skype
149,Free Skype Client Lands On the iPhone
150,"Skype Courts Businesses With ""Skype for SIP"""
151,Cross-Platform Video Chat For Linux?
152,Why Does Skype Read the BIOS?
153,Making Free Phone Calls With Google's GrandCentral
154,German Govt. Skype Interception Trojans Revealed
155,"Sony Announces Skype For PSP, Homebrewers Respond"
156,EBay Admits To Bad Call On Skype
157,Skype Linux Reads Password and Firefox Profile
158,German Court Convicts Skype For Breaching GPL
159,How Skype & Co. get round firewalls
160,Skype Asks FCC to Open Cellular Networks
161,Skype Founders Develop Media Streaming Tech
162,How Skype Punches Holes in Firewalls
163,Skype's Free Phone Call Plan Will Soon Have Annual Fee
164,Skype Unleashed Onto Cell Phones
165,"SIP vs. Skype, Making the ""Open"" Choice"
166,New Video Venture from Skype Creators
167,Skype Protocol Has Been Cracked
168,$5 Social Wi-Fi Router
169,Net2phone Sues Skype
170,Skype Offering SkypeOut Service for Free
171,eBay Looking for Allies Against Google
172,RICO Suit Filed Against Skype Founders
173,Skype Announces Skype For Business
174,Skype 5-way Calling Limit Cracked
175,AMD Subpoenas Skype
