title
Christopher Nolan
"Lana Wachowski,Lilly Wachowski"
"Anthony Russo,Joe Russo"
Robert Zemeckis
Sergio Leone
"Bob Persichetti,Peter Ramsey,Rodney Rothman"
Roman Polanski
Quentin Tarantino
Steven Spielberg
Quentin Tarantino
Martin Scorsese
Rajkumar Hirani
Guillermo del Toro
Lenny Abrahamson
"Terry Gilliam,Terry Jones"
Sergio Leone
Steven Spielberg
Harold Ramis
Tom Hooper
Spike Jonze
Paul Thomas Anderson
David Fincher
Jean-Marc Vallée
Stephen Chbosky
Terry Jones
Alex Garland
David O. Russell
Neill Blomkamp
Martin Scorsese
Duncan Jones
Noah Baumbach
Nicolas Winding Refn
Sang-ho Yeon
Brad Bird
Nitesh Tiwari
"Sergio Pablos,Carlos Martínez López"
Steven Spielberg
Clint Eastwood
"Aamir Khan,Amole Gupte"
John Hughes
"Pierre Coffin,Chris Renaud"
David Mackenzie
"Frank Miller,Robert Rodriguez,Quentin Tarantino"
Wilson Yip
Steven Spielberg
James Marsh
Gabriele Muccino
Asif Kapadia
Edgar Wright
Paul Thomas Anderson
Quentin Tarantino
Michel Hazanavicius
Barry Jenkins
Robert Zemeckis
Mel Stuart
Lasse Hallström
David Fincher
Naoko Yamada
""
Martin Scorsese
Peyton Reed
James L. Brooks
Robert Zemeckis
Malik Bendjelloul
Sam Mendes
Susan Johnson
Aaron Sorkin
Gabriela Cowperthwaite
Vince Gilligan
Oriol Paulo
Tomm Moore
David Ayer
Sam Raimi
Richard Curtis
Stephen Chow
Abdellatif Kechiche
Alfonso Cuarón
David Zucker
Jeff Nichols
Kelly Fremon Craig
""
Ashutosh Gowariker
Eli Craig
"Lana Wachowski,Lilly Wachowski"
Fernando Meirelles
Edward Zwick
Sean Baker
Ava DuVernay
S.S. Rajamouli
"Josh Lowell,Peter Mortimer"
Craig Brewer
David Yates
Galder Gaztelu-Urrutia
Bong Joon Ho
""
John Lee Hancock
Bryan Fogel
David Gelb
"Tim Burton,Mike Johnson"
Cameron Crowe
Armando Iannucci
Martin Campbell
Mark Herman
""
"Phil Johnston,Rich Moore"
"Benny Safdie,Josh Safdie"
Wilson Yip
Mark Osborne
James Ponsoldt
S.S. Rajamouli
David Slade
Rajkumar Hirani
Sam Hargrave
Yorgos Lanthimos
Derek Cianfrance
Zoya Akhtar
Jeremy Saulnier
Jennifer Yuh Nelson
"Ethan Coen,Joel Coen"
Matt Reeves
Chang-dong Lee
Steven Spielberg
"Byron Howard,Chris Williams"
"Hideaki Anno,Kazuya Tsurumaki"
Kevin Smith
"Ron Clements,John Musker"
Nattawut Poonpiriya
Robin Hardy
Tom Ford
Ted Demme
Noah Baumbach
Claude Barras
Chris Smith
Anurag Basu
Noah Baumbach
Sydney Pollack
Ron Howard
Danny Boyle
Ron Underwood
"Kirk DeMicco,Chris Sanders"
Steven Knight
Jay Karas
David Mackenzie
Dee Rees
Jay Roach
Jeremy Saulnier
Roland Emmerich
Alejandro G. Iñárritu
Ruben Östlund
Mike Flanagan
Gavin O'Connor
Ashutosh Gowariker
Tomas Alfredson
Robert Eggers
Vishal Bhardwaj
R. Balki
Mike Flanagan
